group,country,number,position,name,name_zh,age,date_of_birth,caps,goals,club,captain,image,image_source,profile
A,Czechia,4,DF,Robin Hranáč,捷克4号后卫,26,,13,1,TSG Hoffenheim,False,https://images.fotmob.com/image_resources/playerimages/1225995.png,fotmob,https://www.fotmob.com/players/1225995
A,Czechia,5,DF,Vladimír Coufal,捷克5号后卫,33,,61,2,TSG Hoffenheim,False,https://images.fotmob.com/image_resources/playerimages/307317.png,fotmob,https://www.fotmob.com/players/307317
A,Czechia,6,DF,Štěpán Chaloupek,捷克6号后卫,23,,4,0,Slavia Prague,False,https://images.fotmob.com/image_resources/playerimages/1288146.png,fotmob,https://www.fotmob.com/players/1288146
A,Czechia,7,DF,Ladislav Krejčí,捷克7号后卫,27,,26,5,Wolverhampton Wanderers,True,https://images.fotmob.com/image_resources/playerimages/798029.png,fotmob,https://www.fotmob.com/players/798029
A,Czechia,8,MF,Vladimír Darida,捷克8号中场,35,,78,8,Hradec Králové,False,https://images.fotmob.com/image_resources/playerimages/196311.png,fotmob,https://www.fotmob.com/players/196311
A,Czechia,9,FW,Adam Hložek,捷克9号前锋,23,,42,5,TSG Hoffenheim,False,https://images.fotmob.com/image_resources/playerimages/969870.png,fotmob,https://www.fotmob.com/players/969870
A,Czechia,10,FW,Patrik Schick,捷克10号前锋,30,,52,25,Bayer Leverkusen,False,https://images.fotmob.com/image_resources/playerimages/540097.png,fotmob,https://www.fotmob.com/players/540097
A,Czechia,11,FW,Jan Kuchta,捷克11号前锋,29,,31,3,Sparta Prague,False,https://images.fotmob.com/image_resources/playerimages/690332.png,fotmob,https://www.fotmob.com/players/690332
A,Czechia,12,MF,Lukáš Červ,捷克12号中场,25,,16,2,Viktoria Plzeň,False,https://images.fotmob.com/image_resources/playerimages/1151313.png,fotmob,https://www.fotmob.com/players/1151313
A,Czechia,13,FW,Mojmír Chytil,捷克13号前锋,27,,22,6,Slavia Prague,False,https://images.fotmob.com/image_resources/playerimages/988769.png,fotmob,https://www.fotmob.com/players/988769
A,Czechia,14,DF,David Jurásek,捷克14号后卫,25,,17,1,Slavia Prague,False,https://images.fotmob.com/image_resources/playerimages/1247323.png,fotmob,https://www.fotmob.com/players/1247323
A,Czechia,15,FW,Pavel Šulc,捷克15号前锋,25,,20,5,Lyon,False,https://images.fotmob.com/image_resources/playerimages/1037539.png,fotmob,https://www.fotmob.com/players/1037539
A,Czechia,16,GK,Jindřich Staněk,捷克16号门将,30,,14,0,Slavia Prague,False,https://images.fotmob.com/image_resources/playerimages/463967.png,fotmob,https://www.fotmob.com/players/463967
A,Czechia,17,MF,Lukáš Provod,捷克17号中场,29,,37,3,Slavia Prague,False,https://images.fotmob.com/image_resources/playerimages/791682.png,fotmob,https://www.fotmob.com/players/791682
A,Czechia,18,MF,Michal Sadílek,捷克18号中场,27,,34,1,Slavia Prague,False,https://images.fotmob.com/image_resources/playerimages/806551.png,fotmob,https://www.fotmob.com/players/806551
A,Czechia,19,FW,Tomáš Chorý,捷克19号前锋,31,,21,6,Slavia Prague,False,https://images.fotmob.com/image_resources/playerimages/523217.png,fotmob,https://www.fotmob.com/players/523217
A,Czechia,20,DF,Jaroslav Zelený,捷克20号后卫,33,,22,0,Sparta Prague,False,https://images.fotmob.com/image_resources/playerimages/249063.png,fotmob,https://www.fotmob.com/players/249063
A,Czechia,21,DF,David Douděra,捷克21号后卫,28,,16,2,Slavia Prague,False,https://images.fotmob.com/image_resources/playerimages/883759.png,fotmob,https://www.fotmob.com/players/883759
A,Czechia,22,MF,Tomáš Souček,捷克22号中场,31,,89,17,West Ham United,False,https://images.fotmob.com/image_resources/playerimages/524437.png,fotmob,https://www.fotmob.com/players/524437
A,Czechia,23,GK,Lukáš Horníček,捷克23号门将,23,,1,0,Braga,False,https://images.fotmob.com/image_resources/playerimages/1186978.png,fotmob,https://www.fotmob.com/players/1186978
A,Czechia,24,MF,Alexandr Sojka,捷克24号中场,23,,1,0,Viktoria Plzeň,False,https://images.fotmob.com/image_resources/playerimages/1478281.png,fotmob,https://www.fotmob.com/players/1478281
A,Czechia,25,MF,Hugo Sochůrek,捷克25号中场,18,,1,0,Sparta Prague,False,https://images.fotmob.com/image_resources/playerimages/1764021.png,fotmob,https://www.fotmob.com/players/1764021
A,Czechia,26,FW,Denis Višinský,捷克26号前锋,23,,1,0,Viktoria Plzeň,False,https://images.fotmob.com/image_resources/playerimages/1202885.png,fotmob,https://www.fotmob.com/players/1202885
B,Canada,1,GK,Dayne St. Clair,加拿大1号门将,29,1997-05-09,,,Minnesota United FC,False,https://images.fotmob.com/image_resources/playerimages/1026105.png,fotmob,https://www.fotmob.com/players/1026105
B,Canada,2,DF,Alistair Johnston,加拿大2号后卫,27,1998-10-08,,,Celtic FC,False,https://images.fotmob.com/image_resources/playerimages/1055426.png,fotmob,https://www.fotmob.com/players/1055426
B,Canada,3,DF,Luc de Fougerolles,加拿大3号后卫,20,2005-10-12,,,Fulham FC,False,https://images.fotmob.com/image_resources/playerimages/1399943.png,fotmob,https://www.fotmob.com/players/1399943
B,Canada,4,DF,Kamal Miller,加拿大4号后卫,29,1997-05-16,,,Portland Timbers,False,https://images.fotmob.com/image_resources/playerimages/1027412.png,fotmob,https://www.fotmob.com/players/1027412
B,Canada,5,DF,Joel Waterman,加拿大5号后卫,30,1996-01-24,,,CF Montréal,False,https://images.fotmob.com/image_resources/playerimages/1100258.png,fotmob,https://www.fotmob.com/players/1100258
B,Canada,6,DF,Samuel Adekugbe,加拿大6号后卫,31,1995-01-16,,,Vancouver Whitecaps FC,False,,,
B,Canada,7,MF,Stephen Eustáquio,加拿大7号中场,29,1996-12-21,,,FC Porto,False,https://images.fotmob.com/image_resources/playerimages/816223.png,fotmob,https://www.fotmob.com/players/816223
B,Canada,8,MF,Ismaël Koné,加拿大8号中场,24,2002-06-06,,,Sassuolo,False,https://images.fotmob.com/image_resources/playerimages/1288119.png,fotmob,https://www.fotmob.com/players/1288119
B,Canada,9,FW,Jonathan David,乔纳森·戴维,26,2000-01-14,,,Juventus,False,https://images.fotmob.com/image_resources/playerimages/939569.png,fotmob,https://www.fotmob.com/players/939569
